100 50
100 60
100 70
100 80
100 90
100 93
100 95
100 97
125 75
125 85
125 95
125 105
125 115
125 118
125 120
125 122
150 100
150 110
150 120
150 130
150 140
150 143
150 145
150 147
175 125
175 135
175 145
175 155
175 165
175 168
175 170
175 172
200 150
200 160
200 170
200 180
200 190
200 193
200 195
200 197
225 175
225 185
225 195
225 205
225 215
225 218
225 220
225 222
250 200
250 210
250 220
250 230
250 240
250 243
250 245
250 247
275 225
275 235
275 245
275 255
275 265
275 268
275 270
275 272
300 250
300 260
300 270
300 280
300 290
300 293
300 295
300 297
325 275
325 285
325 295
325 305
325 315
325 318
325 320
325 322
350 300
350 310
350 320
350 330
350 340
350 343
350 345
350 347
375 325
375 335
375 345
375 355
375 365
375 368
375 370
375 372
400 350
400 360
400 370
400 380
400 390
400 393
400 395
400 397
425 375
425 385
425 395
425 405
425 415
425 418
425 420
425 422
450 400
450 410
450 420
450 430
450 440
450 443
450 445
450 447
475 425
475 435
475 445
475 455
475 465
475 468
475 470
475 472
500 450
500 460
500 470
500 480
500 490
500 493
500 495
500 497
526 475
526 485
526 495
526 505
526 516
526 518
526 520
526 522
550 500
550 510
550 520
550 530
550 540
550 544
550 546
550 548
576 526
576 536
576 546
576 556
576 566
576 568
576 570
576 572
600 550
600 560
600 570
600 580
600 590
600 594
600 596
600 598
